"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"SpaDES.install","packages/x86_64-w64-mingw32/4.0/","0.0.7","SpaDES.install","PredictiveEcology","HEAD","e70d82e57dc2642c5d92aed7da525f48d23c1e57"
"SpaDES.tools","packages/x86_64-w64-mingw32/4.0/","0.3.10.9000","SpaDES.tools","PredictiveEcology","development","8f17961649b7553299ea31dcaf79ade0bcb06d41"
"SparseM","packages/x86_64-w64-mingw32/4.0/","1.81",NA,NA,NA,NA
"spelling","packages/x86_64-w64-mingw32/4.0/","2.2",NA,NA,NA,NA
"stringfish","packages/x86_64-w64-mingw32/4.0/","0.15.5",NA,NA,NA,NA
"stringi","packages/x86_64-w64-mingw32/4.0/","1.7.6",NA,NA,NA,NA
"stringr","packages/x86_64-w64-mingw32/4.0/","1.4.0",NA,NA,NA,NA
"svglite","packages/x86_64-w64-mingw32/4.0/","2.1.0",NA,NA,NA,NA
"sys","packages/x86_64-w64-mingw32/4.0/","3.4",NA,NA,NA,NA
"systemfonts","packages/x86_64-w64-mingw32/4.0/","1.0.4",NA,NA,NA,NA
"terra","packages/x86_64-w64-mingw32/4.0/","1.5-21",NA,NA,NA,NA
"testthat","packages/x86_64-w64-mingw32/4.0/","3.0.4",NA,NA,NA,NA
"thematic","packages/x86_64-w64-mingw32/4.0/","0.1.2.1",NA,NA,NA,NA
"tibble","packages/x86_64-w64-mingw32/4.0/","3.1.6",NA,NA,NA,NA
"tidyr","packages/x86_64-w64-mingw32/4.0/","1.2.0",NA,NA,NA,NA
"tidyselect","packages/x86_64-w64-mingw32/4.0/","1.1.2",NA,NA,NA,NA
"tiler","packages/x86_64-w64-mingw32/4.0/","0.2.5",NA,NA,NA,NA
"tinytex","packages/x86_64-w64-mingw32/4.0/","0.32",NA,NA,NA,NA
"tufte","packages/x86_64-w64-mingw32/4.0/","0.12",NA,NA,NA,NA
"tzdb","packages/x86_64-w64-mingw32/4.0/","0.1.2",NA,NA,NA,NA
"units","packages/x86_64-w64-mingw32/4.0/","0.8-0",NA,NA,NA,NA
"usethis","packages/x86_64-w64-mingw32/4.0/","2.0.1",NA,NA,NA,NA
"utf8","packages/x86_64-w64-mingw32/4.0/","1.2.2",NA,NA,NA,NA
"uuid","packages/x86_64-w64-mingw32/4.0/","0.1-4",NA,NA,NA,NA
"vctrs","packages/x86_64-w64-mingw32/4.0/","0.3.8",NA,NA,NA,NA
"viridis","packages/x86_64-w64-mingw32/4.0/","0.6.1",NA,NA,NA,NA
"viridisLite","packages/x86_64-w64-mingw32/4.0/","0.4.0",NA,NA,NA,NA
"vroom","packages/x86_64-w64-mingw32/4.0/","1.5.4",NA,NA,NA,NA
"waldo","packages/x86_64-w64-mingw32/4.0/","0.4.0",NA,NA,NA,NA
"webshot","packages/x86_64-w64-mingw32/4.0/","0.5.2",NA,NA,NA,NA
"whisker","packages/x86_64-w64-mingw32/4.0/","0.4",NA,NA,NA,NA
"withr","packages/x86_64-w64-mingw32/4.0/","2.5.0",NA,NA,NA,NA
"wk","packages/x86_64-w64-mingw32/4.0/","0.6.0",NA,NA,NA,NA
"xfun","packages/x86_64-w64-mingw32/4.0/","0.30",NA,NA,NA,NA
"XML","packages/x86_64-w64-mingw32/4.0/","3.99-0.6",NA,NA,NA,NA
"xml2","packages/x86_64-w64-mingw32/4.0/","1.3.3",NA,NA,NA,NA
"xopen","packages/x86_64-w64-mingw32/4.0/","1.0.0",NA,NA,NA,NA
"xtable","packages/x86_64-w64-mingw32/4.0/","1.8-4",NA,NA,NA,NA
"yaml","packages/x86_64-w64-mingw32/4.0/","2.3.5",NA,NA,NA,NA
"zip","packages/x86_64-w64-mingw32/4.0/","2.2.0",NA,NA,NA,NA
"zoo","packages/x86_64-w64-mingw32/4.0/","1.8-9",NA,NA,NA,NA
